origen,segment,segmento,marca,modelo_generico,modelo,generacion,version,version_comercial,nro_puertas,cilindrada_en_lts,cilindrada_en_cc,potencia_en_cv,disposicion_cilindros,cantidad_valvulas,codigo_motor,familia_de_motor,sistema_alimentacion,sistema_inyeccion,turbo,combustible,transmision,nro_velocidades,freno_delantero,freno_trasero,traccion,peso,nro_pasajeros,tipo_uso,uso_bus,nro_ejes,periodo,fecha_inicial,fecha_final,año_inicial,año_final,buscador,año,flota,vcdb_marca,vcdb_modelo,a�o_inicial,a�o_final,a�o
ECUADOR,PASSENGER CARS,SEDAN,CHEVROLET,AVEO,AVEO,,FAMILY STD,,4,1.5,1498,83,-,-,LV8,-,-,-,ASPIRADO,GASOLINA,MANUAL,5,DISCO VENTILADO,TAMBOR,4X2,1040,5,,,2,2016 - 2019,2016,2019,2016,2019,,2016,36409,Chevrolet,Aveo,,,
ECUADOR,PASSENGER CARS,SEDAN,CHEVROLET,SAIL,SAIL,,LS,,4,1.5,1485,109,-,-,S-TEC III,-,INYECCION ELECTRONICA,INYECCION DIRECTA,ASPIRADO,GASOLINA,MANUAL,5,DISCO VENTILADO,TAMBOR,4X2,1012,5,PARTICULAR,,2,2018 - 2020,2018,2020,2018,2020,,2018,27422,Chevrolet,Sail,,,
CHINA,PASSENGER CARS,SUV,CHEVROLET,CAPTIVA,CAPTIVA,,LT TURBO 5PAS AC 1.5 5P 4X2 TM,,5,1.5,1500,-,-,-,LJO,-,-,-,TURBO,GASOLINA,MANUAL,-,,,4X2,,5,,,2,2021 - 2021,2021,2021,2021,2021,,2021,24570,Chevrolet,Captiva,,,
ECUADOR,LIGHT COMMERCIALS,PICKUP,CHEVROLET,D-MAX,D-MAX,,CRDI 3.0 CD 4X2 TM DIESEL,,4,3.0,2999,177,-,-,4JJ1-TC,-,-,INYECCION DIRECTA,TURBO,DIESEL,MANUAL,5,DISCO VENTILADO,TAMBOR,4X2,1875,4,PARTICULAR,,2,2014 - 2019,2014,2019,2014,2019,,2014,17962,Chevrolet,D-Max,,,
COLOMBIA,PASSENGER CARS,AUTOMOVIL,CHEVROLET,SPRINT,SPRINT,-,1,1.0 MT 1000CC PC,5,1.0,997,52,L4,8,G10,G10,INYECCION MULTIPUNTO,-,-,GASOLINA,MANUAL,-,-,-,4X2,1180,5,PARTICULAR,-,2,1987 - 2005,1987,2005,1987,2005,,1987,17622,Chevrolet,Sprint,,,
ECUADOR,LIGHT COMMERCIALS,PICKUP,CHEVROLET,D-MAX,D-MAX,,CRDI 2.5 CD 4X2 TM DIESEL,,4,2.5,2500,-,-,-,4JA1-L,-,-,-,TURBO,DIESEL,MANUAL,-,,,4X2,,,,,2,2021 - 2023,2021,2023,2021,2023,,2021,17462,Chevrolet,D-Max,,,
COREA,PASSENGER CARS,HATCHBACK,CHEVROLET,SPARK,SPARK,,1.0 MANUAL,,5,1.0,995,-,L4,-,LQ4,-,-,-,ASPIRADO,GASOLINA,MANUAL,-,,,-,,,,,,2004 - 2012,2004,2012,2004,2012,,2004,16835,Chevrolet,Spark,,,
COLOMBIA,PASSENGER CARS,AUTOMOVIL,MAZDA,323,323,-,HS,1.3 MT 1300CC PM,5,1.3,1300,68,-,-,-,-,-,-,-,GASOLINA,MANUAL,-,-,-,4X2,1250,5,PARTICULAR,-,2,1986 - 1986,1986,1986,1986,1986,,1986,15228,Mazda,323,,,
ECUADOR,PASSENGER CARS,SUV,KIA,SPORTAGE,SPORTAGE,,SL,,5,2.0,1999,155,-,-,G4KD,-,INYECCION ELECTRONICA,INYECCION DIRECTA,ASPIRADO,GASOLINA,MANUAL,5,DISCO VENTILADO,DISCO,4X2,1525,5,PARTICULAR,,2,2017 - 2020,2017,2020,2017,2020,,2017,14476,Kia,Sportage,,,
CHINA,PASSENGER CARS,SUV,CHEVROLET,CAPTIVA,CAPTIVA,,PREMIER TURBO 7PAS AC 1.5 5P 4X2 TM,,5,1.5,1500,-,-,-,LJO,-,-,-,TURBO,GASOLINA,MANUAL,-,,,4X2,,7,,,2,2021 - 2023,2021,2023,2021,2023,,2021,14239,Chevrolet,Captiva,,,
