Identificador;Item;Fecha;Estado;NCM-SIM;Exportador;Localidad;Tipo de Dato;Fecha Cumplido;Fecha Cargado;Destinación;Aduana;Via Transporte;País de Destino;Aduana de Destino;U$S Unitario;U$S FOB;Flete U$S;Seguro;Cantidad;Unidad;Kgs. Netos;Item;Marca - Sufijos;Cantidad;Unitario Divisa;FOB Divisa;Moneda Divisa;Condición de Venta;Marca o Descripcion;Descripcion Arancelaria
22001EC01001528A;1;44568;AUTO;0713.39.90.990N;PRIMORE SRL;CAPITAL FEDERAL;DEFINITIVO;07/01/2022;No disponible;CONSUMO;BS.AS. (CAPITAL);ACUATICA;Colombia;BS.AS. (CAPITAL);857.45;20150.08;0;0;23.5;TONELADA;23500;0;MARCA: S/M;23.5;857.45;20150.08;DOLAR USA;FOB;AA(S/M)-PB00-;HORTALIZAS DE VAINA SECAS DESVAINADAS POROTOS PHASEOLUS OTROS
22001EC01003002M;1;44574;OFIC;0713.39.90.990N;SWISS AGRO EXPORT  SA;SALTA;DEFINITIVO;13/01/2022;No disponible;CONSUMO;BS.AS. (CAPITAL);ACUATICA;Italia;BS.AS. (CAPITAL);806.52;18549.96;3300.04;0;23;TONELADA;23000;0;MARCA: SWISS AGRO EXPORT SA;23;806.52;18549.96;DOLAR USA;CFR;AA(SWISS AGRO EXPORT SA)-PB00-;HORTALIZAS DE VAINA SECAS DESVAINADAS POROTOS PHASEOLUS OTROS
22001EC01003097D;1;44575;OFIC;0713.39.90.990N;SWISS AGRO EXPORT  SA;SALTA;DEFINITIVO;14/01/2022;No disponible;CONSUMO;BS.AS. (CAPITAL);ACUATICA;Turquía;BS.AS. (CAPITAL);722.39;83074.85;26175.15;0;115;TONELADA;115000;0;MARCA: SWISS AGRO EXPORT SA;115;722.39;83074.85;DOLAR USA;CFR;AA(SWISS AGRO EXPORT SA)-PB00-;HORTALIZAS DE VAINA SECAS DESVAINADAS POROTOS PHASEOLUS OTROS
22053EC01000230T;1;44600;AUTO;0713.39.90.990N;LAS TROJAS S A;OLIVOS;DEFINITIVO;08/02/2022;No disponible;CONSUMO;SALTA;CAMION;Chile;SALTA;990;27720;0;0;28;TONELADA;28000;0;MARCA: SIN MARCA;28;990;27720;DOLAR USA;FCA;AA(SIN MARCA)-PB00-;HORTALIZAS DE VAINA SECAS DESVAINADAS POROTOS PHASEOLUS OTROS
22082EC01000497N;1;44622;CANC;0713.39.90.990N;LEGUMBRES DE SALTA SRL;SALTA;DEFINITIVO;02/03/2022;No disponible;CONSUMO;BERNARDO DE YRIGOYEN;CAMION;Brasil;BERNARDO DE YRIGOYEN;600;14700;0;0;24.5;TONELADA;24500;0;MARCA: S/M;24.5;600;14700;DOLAR USA;FCA;AA(S/M)-PB00-;HORTALIZAS DE VAINA SECAS DESVAINADAS POROTOS PHASEOLUS OTROS
22052EC01002920D;1;44656;OFIC;0713.39.90.990N;JEWELL ESPECIALIDADES SA;SANTA FE;DEFINITIVO;05/04/2022;No disponible;CONSUMO;ROSARIO;CAMION;Chile;ROSARIO;890;24920;0;0;28;TONELADA;28000;0;MARCA: S/MARCA;28;890;24920;DOLAR USA;FCA;AA(S/MARCA)-PB00-;HORTALIZAS DE VAINA SECAS DESVAINADAS POROTOS PHASEOLUS OTROS
22031EC01000262U;1;44659;AUTO;0713.39.90.990N;J. L. GURRIERI LEGUMBRES S.R.L.;PERICO;DEFINITIVO;08/04/2022;No disponible;CONSUMO;JUJUY;CAMION;Chile;JUJUY;670;12730;0;0;19;TONELADA;19000;0;MARCA: GURRIERI;19;670;12730;DOLAR USA;FCA;AA(GURRIERI)-PB00-;HORTALIZAS DE VAINA SECAS DESVAINADAS POROTOS PHASEOLUS OTROS
22001EC01027290E;1;44669;OFIC;0713.39.90.990N;PRIMORE SRL;CAPITAL FEDERAL;DEFINITIVO;18/04/2022;No disponible;CONSUMO;BS.AS. (CAPITAL);ACUATICA;Turquía;BS.AS. (CAPITAL);792.13;34457.5;7520;0;43.5;TONELADA;43500;0;MARCA: S/M;43.5;792.13;34457.5;DOLAR USA;CFR;AA(S/M)-PB00-;HORTALIZAS DE VAINA SECAS DESVAINADAS POROTOS PHASEOLUS OTROS
22001EC01028348J;1;44672;OFIC;0713.39.90.990N;SWISS AGRO EXPORT  SA;SALTA;DEFINITIVO;21/04/2022;No disponible;CONSUMO;BS.AS. (CAPITAL);ACUATICA;Italia;BS.AS. (CAPITAL);784.78;18049.94;3800.06;0;23;TONELADA;23000;0;MARCA: SWISS AGRO EXPORT SA;23;784.78;18049.94;DOLAR USA;CFR;AA(SWISS AGRO EXPORT SA)-PB00-;HORTALIZAS DE VAINA SECAS DESVAINADAS POROTOS PHASEOLUS OTROS
22031EC01000309W;1;44683;AUTO;0713.39.90.990N;ARGENCROPS S.A.;SAN SALVADOR DE;DEFINITIVO;02/05/2022;No disponible;CONSUMO;JUJUY;FERROCARRIL;España;JUJUY;740.68;2940.51;0;0;3.97;TONELADA;3975;0;MARCA: ARGENCROPS;3.97;740.68;2940.51;DOLAR USA;FOB;AA(ARGENCROPS)-PB00-;HORTALIZAS DE VAINA SECAS DESVAINADAS POROTOS PHASEOLUS OTROS
